                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.4311,                 3.5503,                  1.705,                0.00166,                0.42857,                0.01024,                0.00257,                  2.851,                  4.403,                 2.7144,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.6072,                 3.5565,                 1.8017,                0.13804,                0.14286,                0.06928,                0.03452,                 2.3417,                 4.2153,                 2.1968,               0.001307,               0.001307,               0.001307
                     38,                 2.3728,                 2.9859,                 1.7733,                0.13804,                0.14286,                0.06928,                0.03452,                 2.3417,                 4.2153,                 2.1968,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.1989,                 3.0669,                 1.6694,                0.63779,                0.28571,                0.25173,                0.12682,                 2.7348,                 4.0514,                 3.1367,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.4178,                 2.9706,                 1.6891,                0.63779,                0.28571,                0.25173,                0.12682,                 2.7348,                 4.0514,                 3.1367,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.8402,                 3.6997,                 2.2664,                0.36928,                0.14286,                0.25202,                0.11461,                 2.8752,                 3.6845,                 3.0987,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.1728,                  2.704,                 1.6116,                0.36928,                0.14286,                0.25202,                0.11461,                 2.8752,                 3.6845,                 3.0987,               0.001208,               0.001208,               0.001208
                     43,                 2.1405,                 2.8745,                 1.7433,                0.93197,                0.28571,                0.30978,                0.07847,                 2.6382,                 4.1107,                 2.4383,              0.0011882,              0.0011882,              0.0011882
                     44,                  2.635,                 3.7087,                 2.2234,                0.93197,                0.28571,                0.30978,                0.07847,                 2.6382,                 4.1107,                 2.4383,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.4614,                 3.0315,                 1.6183,                0.27505,                0.28571,                0.13009,                0.05016,                 2.7109,                 3.6869,                 2.3873,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.6065,                 3.3235,                 1.8206,                0.27505,                0.28571,                0.13009,                0.05016,                 2.7109,                 3.6869,                 2.3873,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.3127,                 2.6908,                  1.539,                0.92125,                0.28571,                0.30019,                0.12565,                 2.6131,                 3.5577,                 2.3445,               0.001109,               0.001109,               0.001109
                     48,                 2.5393,                 3.2131,                 1.9485,                0.92125,                0.28571,                0.30019,                0.12565,                 2.6131,                 3.5577,                 2.3445,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.4275,                 2.8169,                 1.6875,                0.36489,                0.28571,                0.22147,                0.10405,                  2.786,                 3.9306,                 2.6679,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.4154,                 3.1314,                 2.0011,                0.36489,                0.28571,                0.22147,                0.10405,                  2.786,                 3.9306,                 2.6679,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.1976,                 3.0589,                 1.7716,                0.88269,                0.28571,                0.32737,                0.07678,                 2.8976,                 3.8197,                 2.6362,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.6653,                 3.0722,                 2.0059,                0.88269,                0.28571,                0.32737,                0.07678,                 2.8976,                 3.8197,                 2.6362,                0.00101,                0.00101,                0.00101
                     53,                 2.2269,                 2.5072,                 1.5234,                0.26492,                0.14286,                0.15306,                0.07498,                 2.3682,                 3.5718,                  2.068,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.5207,                 2.8377,                  1.889,                0.26492,                0.14286,                0.15306,                0.07498,                 2.3682,                 3.5718,                  2.068,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.4914,                 3.0823,                 1.8581,                0.17167,                0.14286,                0.14218,                0.06183,                 2.2397,                 3.1818,                 2.1868,              0.0009506,              0.0009506,              0.0009506
                     56,                  2.148,                 2.6016,                 1.6926,                0.17167,                0.14286,                0.14218,                0.06183,                 2.2397,                 3.1818,                 2.1868,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.7009,                 2.7559,                  1.885,                0.09174,                0.28571,                0.07674,                0.02823,                 2.1978,                 3.0916,                 2.2166,               0.000911,               0.000911,               0.000911
                     58,                  2.384,                  2.675,                 1.8331,                0.09174,                0.28571,                0.07674,                0.02823,                 2.1978,                 3.0916,                 2.2166,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.0366,                 2.3939,                 1.4011,                0.12608,                0.42857,                0.07673,                0.03451,                 2.2119,                 3.1563,                 2.1087,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.3579,                 2.3948,                 1.6053,                0.12608,                0.42857,                0.07673,                0.03451,                 2.2119,                 3.1563,                 2.1087,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9671,                 2.3463,                 1.5351,                0.14796,                0.42857,                0.19182,                0.08795,                 1.8015,                 2.5258,                 1.4438,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8091,                   2.05,                 1.2793,                0.14796,                0.42857,                0.19182,                0.08795,                 1.8015,                 2.5258,                 1.4438,               0.000812,               0.000812,               0.000812
                     63,                 2.1429,                 2.5136,                 1.6795,                0.31476,                0.14286,                0.08711,                0.03728,                 2.4789,                 4.4662,                 2.6421,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.3868,                 2.1807,                 1.8035,                0.31476,                0.14286,                0.08711,                0.03728,                 2.4789,                 4.4662,                 2.6421,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.1721,                 2.1075,                 1.6337,                0.17407,                0.28571,                0.06505,                  0.025,                 2.5757,                 4.6211,                 2.3131,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.2691,                 2.1854,                 1.5971,                0.17407,                0.28571,                0.06505,                  0.025,                 2.5757,                 4.6211,                 2.3131,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.1219,                  2.012,                 1.5432,                0.20334,                0.28571,                0.07943,                0.03388,                 2.6485,                 4.2745,                 2.5393,               0.000713,               0.000713,               0.000713
                     68,                 2.0733,                   2.45,                 1.6189,                0.20334,                0.28571,                0.07943,                0.03388,                 2.6485,                 4.2745,                 2.5393,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.3228,                 2.0549,                 1.6288,                0.28615,                0.14286,                0.12533,                0.05976,                 2.3276,                 3.1658,                 2.5372,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.0552,                 1.9076,                 1.4906,                0.28615,                0.14286,                0.12533,                0.05976,                 2.3276,                 3.1658,                 2.5372,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.937,                 1.9822,                 1.8844,                0.51167,                0.28571,                0.26665,                0.12476,                 2.1696,                 2.8233,                 2.3261,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.7744,                 1.8774,                 1.4089,                0.51167,                0.28571,                0.26665,                0.12476,                 2.1696,                 2.8233,                 2.3261,               0.000614,               0.000614,               0.000614
